execid,EXEC_FULL_NAME,Compared_Chen2016,TYPE,TWITTER_ACCOUNT,First_join,First_tweet,Comments ,Twitterlist
15428,Mary L. Forte,,Red,@marylforte_l,12/4/2014,,No tweeted ,1
29887,Matthew E. Rubel,YES,Green,@mr2matt,2/28/2009,2/28/2009,New,1
6462,"Mayo A. Shattuck, III",,Red,@MayoShattuck,4/10/2013,,No tweeted ,1
1944,Mel Karmazin,YES,Green,@MelKarmazin,4/23/2009,4/23/2009,,1
13341,Menderes Akdag,,Red,@menderes_akdag,12/12/2012,2/4/2013,fake account,1
34558,Michael D. Siegal,YES,Green,@msiegal1,3/16/2011,1/17/2012,New,1
5986,"Michael J. Critelli, J.D.",,Green,@mjcritelli,11/27/2010,11/27/2010,retair ,1
26973,Michael J. Newsome,,Red,@MichaelJNewsome,1/27/2015,1/29/2015,fake account,1
18601,Michael J. Saylor,YES,Blue,@michael_saylor,1/29/2011,2/1/2011,,1
34625,Michael L. Baur,YES,Green,@scanman57,6/22/2009,3/13/2010,,1
41050,Michael L. Reger,,Green,@mlreger,10/19/2013,5/22/2015,low tweets ,1
16589,Michael P. Durney,,Red,@MikeDurney1,2/28/2014,,No tweeted ,1
40025,Michael P. Skarzynski,,Green,@redliontech,3/7/2010,2/13/2014,retair ,1
34509,Michael Rapino,YES,Blue,@rapino99,2/25/2009,3/8/2009,,1
281,Michael S. Dell,YES,Blue,@MichaelDell,7/20/2009,3/9/2010,retair ,1
15883,Michael S. Jeffries,,Red,@JeffriesBoy69,5/15/2013,5/15/2013,fake account,1
13751,Michael T. Wedge,,Green,@4thSourceCEO,3/28/2011,4/6/2011,retair ,1
174,Micky M. Arison,YES,Blue,@MickyArison,8/10/2011,8/11/2011,Wrong,1
23474,Mindy F. Grossman,YES,Green,@mindygrossman,6/13/2013,7/4/2014,low tweets ,1
30847,Muhtar Kent,,Blue,@MuhtarKent,11/15/2011,4/18/2015,first tweet after retair ,1
32380,Naren K. Gursahaney,YES,Green,@NarenGursahaney,11/14/2012,11/15/2012,,1
4618,Niel C. Ellerbrook,,Green,@nielvvc,2/9/2012,2/28/2013,low tweets ,1
39948,Ofer Elyakim,,Green,@OferElyakim,5/1/2012,,No tweeted ,1
43432,Omar S. Ishrak,,Green,@MedtronicCEO,6/13/2011,6/13/2011,,1
42088,Patrick C. Henry,,Green,@QuestFusion,1/26/2015,1/27/2015,retair ,1
43691,Patrick K. Decker,,Green,@PatrickKDecker,7/31/2014,8/1/2014,,1
21289,Paul B. Dykstra,YES,Green,@PaulDykstra14,4/18/2011,5/14/2014,first tweet after retair ,1
45646,Paul Galant,YES,Green,@PaulGalant,10/29/2013,11/9/2013,,1
18624,Paul L. Sagan,YES,Green,@PaulSagan1,7/24/2012,8/4/2012,,1
17098,Paul M. Black,,Green,@PaulMBlack,7/14/2015,7/14/2015,retair ,1
20985,Paul T. Hanrahan,,Green,@PTHanrahan,7/28/2011,1/6/2012,low tweets ,1
20414,Pehong Chen,YES,Green,@PehongChen,4/22/2009,11/4/2011,low tweets ,1
40254,Peter A. Altabef,,Green,@PAltabef,4/14/2012,,No tweeted ,1
18079,"Peter C. Farrell, Ph.D., BE (Hons), ScD, AM",,Green,@fa331250901,7/9/2015,8/7/2015,retair ,1
241,"Peter Karmanos, Jr.",YES,Green,@karmanosunplggd,10/18/2010,10/27/2010,,1
40690,Phaneesh Murthy,,Green,@PhaneeshMurthy,12/10/2014,12/10/2014,retair ,1
27571,Philip C. Mezey,,Green,@PhilipMezey,8/26/2014,,No tweeted ,1
24904,Ralph G. Quinsey,YES,Red,@quinseyr,12/11/2013,12/23/2013,fake account,1
12661,Ramani Ayer,,Red,@RamaniAyer,3/19/2009,,No tweeted ,1
19406,Randall D. Stilley,YES,Green,@rdstilley,4/30/2009,5/17/2009,,1
43977,Randall S. Dearth,YES,Green,@RSDearth,3/15/2009,5/28/2009,New,1
5881,Randy H. Thurman,,Red,@RandyThurman1,4/8/2012,9/23/2012,fake account,1
42730,Randy L. Ortiz,YES (But different account),Green,@lojackceo,9/18/2013,9/19/2013,,1
16188,Raymond D. Zinn,,Green,@Ray_Zinn_,5/8/2015,6/8/2015,retair ,1
31461,Reed Hastings,YES,Green,@reedhastings,6/26/2008,6/2/2014,,1
30038,"Renato Cataldo, Jr., Pharm.D.",,Green,@C4ECEO,11/2/2009,2/4/2013,first tweet after retair ,1
36440,Richard A. Meeusen,YES,Green,@rmeeusen,5/20/2009,6/9/2009,,1
3817,Richard M. Beyer,,Red,@richbeyer,9/16/2009,8/13/2012,fake account,1
837,Richard Robinson,,Green,@RichardR_29,3/30/2010,3/30/2010,,1
14194,"Richard S. Fuld, Jr.",,Red,@RichardFuld,3/27/2009,3/27/2009,fake account,1
2767,Richard Wagoner,,Red,@RwWxGuy,1/24/2009,,"protected, 74",1
22978,Robert A. Kotick,,Green,@Robert_A_Kotick,N/A,8/19/2014,low tweets ,1
26697,Robert A. Niblock,,Red,@RobertaNiblock,1/12/2012,1/13/2012,fake account,1
18117,Robert C. Hagerty,YES,Green,@BobHagerty,5/18/2009,5/18/2009,,1
28580,Robert C. Paul,,Green,@bobcpaul,10/26/2011,10/26/2011,,1
21224,Robert C. Pohlad,YES,Green,@robopoh,9/6/2009,8/21/2010,retair ,1
28074,Robert D. Monson,,Red,@robertmonson,1/11/2010,1/11/2010,fake account,1
20501,Robert D. Wachob,,Red,@wachob2006,12/7/2014,12/7/2014,fake account,1
15584,Robert E. Beauchamp,,Green,@bob_beauchamp,1/20/2012,1/16/2015,retair ,1
21436,Robert L. Nardelli,,Green,@bobnardelli,4/9/2014,4/10/2014,retair ,1
16277,Robert M. Calderoni,,Red,@CalderoniRacvt,12/29/2013,12/30/2013,fake account,1
34473,Robert O. Carr,,Green,@therobertcarr,10/8/2015,9/10/2015,2015y,1
41706,Robert P. LoCascio,YES,Green,@RobLoCascio,12/2/2008,12/2/2008,,1
17624,Robert Rosenkranz,,Green,@RosenkranzBlog,6/3/2015,6/3/2015,2015y,1
12743,Robert W. Pittman,,Green,@PittmanRadio,4/8/2011,4/18/2011,,1
16312,Rolla P. Huff,YES,Green,@RollaHuff,6/14/2013,6/15/2013,,1
23632,Ronald J. Buschur,,Green,@RonaldBuschur,6/8/2013,6/28/2013,retair ,1
42390,Rory P. Read,,Green,@RoryRead,8/26/2011,,No tweeted ,1
35601,Roy H. Bubbs,,Red,@roybubbs,5/26/2011,,fake account,1
13960,Russell P. Fradin,,Green,@rfradin,1/22/2008,1/22/2008,,1
14481,"S. David Passman, III",YES,Green,@dpassmaniii,2/22/2009,9/3/2009,fake account,1
29988,Salomon Sredni,YES,Green,@TRADrules,7/16/2009,12/2/2011,first tweet after retair ,1
31887,Samuel L. Caster,,Green,@TheSamCaster,5/11/2010,12/17/2010,retair ,1
35566,Sardar Biglari,,Red,@notSardar,11/16/2014,11/16/2014,fake account,1
45617,Scott A. Buckhout,,Red,@scbuckhout,9/28/2010,9/28/2010,fake account,1
899,Scott G. McNealy,,Blue,@scottmcnealy,4/13/2011,4/18/2011,retair ,1
43846,Scott J. Dolan,,Red,@dolansceo,1/16/2009,8/23/2013,fake account,1
40273,Scott K. Ginsburg,YES,Green,@scott_ginsburg,5/16/2009,7/4/2009,,1
25279,Sean E. Menke,,Green,@SeanMenke,6/30/2011,7/1/2011,,1
36326,Sean P. Moriarty,,Green,@seanmo,2/13/2009,2/26/2013,ratair,1
42020,Shaun E. McAlmont,YES,Green,@ShaunMcAlmont,1/31/2012,2/2/2012,,1
27640,Sherrill W. Hudson,,Red,@HudsonSherrill,2/13/2014,2/22/2014,fake account,1
24310,Shirley Singleton,YES,Green,@shirleyedge,4/28/2008,4/28/2008,,1
17732,Stanley B. Kinsey,,Green,@sbkins,7/20/2012,10/17/2012,low tweets ,1
30902,Stanton David Sloane,,Red,@DrStantonSloane,7/14/2009,,No tweeted ,1
643,Stephen A. Wynn,YES,Green,@SteveA_Wynn,N/A,8/7/2013,low tweets ,1
41723,Stephen E. Carley,YES,Green,@scarley01,3/30/2009,4/7/2009,New,1
18108,Stephen G. Berman,,Red,@JakkssgbStephen,9/21/2014,,No tweeted ,1
43350,Stephen Kaufer,YES,Green,@kaufer,2/25/2009,3/14/2009,,1
22758,Steve Odland,,Green,@SteveOdland,1/13/2012,1/16/2012,retair ,1
2967,Steven A. Ballmer,YES (But different account),Blue,@clippersteveb,8/26/2014,8/27/2014,retair ,1
25174,Steven L. Spinner,,Green,@StevenSpinner,2/15/2012,1/13/2013,,1
36696,Steven M. Mollenkopf,,Red,@SteveMollenkopf,2/19/2014,,No tweeted ,1
12653,Steven S. Reinemund,,Red,@sreinemund,8/27/2007,2/10/2008,fake account,1
25381,"Stuart M. Essig, Ph.D.",,Red,@Stuartessig1,9/14/2014,3/1/2015,fake account,1
32267,Subrah S. Iyar,,Green,@SubrahIyar,8/19/2012,10/3/2013,retair ,1
32391,Sudhir Steven Singh,YES,Blue,@SteveSSingh,5/31/2009,6/28/2009,New,1
29941,"Sung Won Sohn, Ph.D.",,Red,@ssohn123,9/30/2012,,No tweeted ,1
26887,Susan P. McGalla,,Green,@SusanMcGalla,4/1/2014,,No tweeted ,1
30486,Susan R. Salka,YES,Green,@SusanSalka,3/5/2012,3/9/2012,,1
42976,T. Kendall Hunt,YES,Green,@tkendallhunt,2/17/2010,2/18/2010,,1
44322,Terry A. Tevis,,Green,@TATinCT,10/21/2010,10/21/2010,low tweets ,1
16989,Thian Hoo Tan,,Red,@thtan1,31/06/2010,,No tweeted ,1
42279,Thomas D. Christopoul,,Green,@tchristopoul,3/6/2009,3/12/2009,,1
13321,Tilman J. Fertitta,,Red,@TilmanFertitta,N/A,4/14/2012,fake account,1
11717,Timothy D. Cook,YES,Blue,@tim_cook,7/31/2013,9/20/2013,,1
14967,Timothy G. Biltz,YES,Green,@TimBiltz,3/13/2009,10/6/2010,low tweets ,1
37968,Timothy M. Armstrong,YES,Blue,@timarmstrongaol,1/4/2010,1/4/2010,,1
45329,Todd A. Becker,,Red,@toddbecker1,10/19/2010,10/19/2010,fake account,1
46197,Vincent G. Miata,,Red,@VMiata,1/19/2009,4/8/2015,fake account,1
35092,Virginia M. Rometty,,Green,@GinniRometty,12/12/2011,,No tweeted ,1
18583,Vivek Y. Ranadive,YES,Blue,@Vivek,3/10/2009,3/11/2009,,1
5065,Walden C. Rhines,,Green,@waldencr,6/13/2008,,No tweeted ,1
37935,"Wallace E. Boston, Jr., Ed.D",YES,Green,@wallyboston,11/24/2008,3/12/2009,,1
29400,"Walter W. Bettinger, II",YES,Blue,@WaltBettinger,6/28/2010,6/5/2013,,1
