execid,EXEC_FULL_NAME,Compared_Chen2016,TYPE,TWITTER ACCOUNT,First_join,First_tweet,Comments,Twitterlist,Number_follower,Number_following
3497,John P. McConnell,,Red,@JohnPMcConnell,11/22/2011,4/9/2013,fake account,1,221,386
1463,"John P. McLaughlin, J.D.",YES,Green,@jmclaughlin173,11/4/2008,1/3/2009,New,1,56,15
29665,John R. Koelmel,,Red,@jrk8104,6/22/2012,10/26/2013,fake account,1,57,153
9349,John S. Chen,,Blue,@JohnChen,12/2/2013,5/8/2015,retair ,1,19843,32
15533,John S. Riccitiello,YES,Green,@johnriccitiello,2/19/2009,2/20/2009,,1,1582,98
40413,John T. Kilcoyne,,Green,@JohnKilcoyneCEO,8/3/2015,8/17/2015,retair ,1,768,1952
36504,Jon E. Kirchner,,Red,@JonKirchner,12/29/2009,9/21/2013,fake account,1,23,10
32525,Jonas Prising,YES,Green,@JonasPrising,8/11/2008,1/20/2012,,1,4843,332
34796,Jonathan D. Klein,,Blue,@JonathanDKlein,7/24/2014,8/6/2014,retair ,1,1798,618
27199,Jonathan I. Schwartz,YES,Green,@OpenJonathan,12/14/2007,4/30/2008,,1,13401,123
31283,Jonathan S. Huberman,,Green,@Jon_Huberman,8/14/2015,8/17/2015,retair ,1,90,274
46038,Jory J. Marino,YES,Green,@jory_marino,1/30/2013,1/13/2014,,1,61,17
43696,Joseph C. Magnacca,,Red,@JosephMagnacca,2/18/2014,,fake account,1,7,4
47086,Joseph F. Eazor,YES,Green,@joe_eazor,10/27/2013,4/10/2015,New,1,117,26
7182,Joseph W. Alsop,,Green,@JoeAlsop,10/6/2009,12/6/2012,low tweets ,1,23,28
28513,Kambiz Y. Hooshmand,,Green,@KambizHoo,4/6/2010,4/7/2010,retair ,1,101,52
33415,Karl McDonnell,YES,Blue,@Karl_McDonnell,2/8/2011,2/9/2011,,1,11180,1359
30312,"Keith Rupert Murdoch, AC",,Red,@OldRupert,7/22/2011,7/22/2011,fake account,1,27,24
36345,Kenneth D. Denman,,Green,@kendenman,3/1/2009,3/15/2009,,1,715,474
7568,Kent J. Thiry,YES,Blue,@KentThiry,10/4/2012,4/24/2014,,1,2195,401
34354,Kevin A. Plank,,Red,@Kevin_Plank74,N/A,,fake account,1,user account is suspended
27254,Kieran T. Gallahue,,Red,@Gallkt,5/19/2009,,No tweeted ,1,58,31
35196,Kimberly S. Lubel,,Green,@CornerStoreKim,6/11/2015,7/9/2015,2015y,1,359,52
33797,Klaus P. Besier,,Green,@Besier_K,3/29/2013,4/23/2013,retair ,1,134,164
46369,Laura Wicke Lang,YES,Green,@lwlang,4/25/2009,6/8/2010,,1,1528,481
717,Lawrence J. Ellison,YES,Blue,@larryellison,5/31/2012,6/6/2012,low tweets ,1,93687,26
35475,Lip-Bu Tan,,Red,@lip_bu,1/12/2013,,No tweeted ,1,10,11
31515,Louis DiNardo,YES,Green,@loudinardo,7/18/2008,7/18/2008,,1,18,24
39977,LuAnn Via,,Red,@LuAnnVia,3/26/2009,,No tweeted ,1,42,4
35189,Lynn Laverty Elsenhans,,Red,@LynnElsenhans,10/26/2011,3/13/2015,fake account,1,14,26
21016,Lynn R. Blodgett,,Red,@BlodgettLynn,12/6/2014,,fake account,1,9,11
14530,M. J. Desch,YES,Green,@IridiumBoss,4/9/2009,5/8/2009,,1,1413,370
37918,"Magid M. Abraham, Ph.D.",YES,Green,@m_abraham,4/9/2009,4/12/2009,,1,1326,45
35712,Marc Benioff,YES,Blue,@Benioff,2/28/2009,2/28/2009,,1,311983,1768
31875,Marc E. Chardon,YES,Green,@MarcChardon,4/25/2008,9/30/2009,,1,391,30
5706,Margaret C. Whitman,YES,Blue,@MegWhitman,2/12/2009,2/24/2009,New,1,236230,298
44708,Marissa A. Mayer,YES,Blue,@marissamayer,11/19/2008,7/21/2009,,1,1664006,342
32024,Mark A. Canepa,,Green,@CanepaMark,12/17/2011,2/7/2012,low tweets ,1,22,16
16171,Mark B. Templeton,,Blue,@CitrixCEO,10/21/2015,5/6/2015,retair ,1,do not authorize to access his/her account
31620,Mark K. Tonnesen,,Green,@mtonnese,6/15/2009,9/13/2009,low tweets ,1,99,75
7616,Mark R. Goldston,,Red,@GoldstonMark,8/3/2015,,No tweeted ,1,8,13
31029,Mark T. Bertolini,YES,Blue,@mtbert,9/2/2009,9/2/2009,,1,14321,506
18929,Mark Vincent Hurd,,Green,@MarkVHurd,11/16/2011,6/30/2014,,1,15472,71
45313,Mark Zuckerberg,YES,Green,@finkd,2/12/2009,2/12/2009,,1,424388,819
5055,Marshall N. Morton,YES,Green,@MMortonMG,10/26/2011,10/26/2011,New,1,9,2
14644,Mary E. Junck,YES,Green,@maryjunck,12/30/2010,12/30/2010,low tweets ,1,132,119
37343,Mary G. Berner,,Green,@MaryBerner,6/17/2013,3/31/2014,low tweets ,1,283,241
15428,Mary L. Forte,,Red,@marylforte_l,12/4/2014,,No tweeted ,1,5,40
29887,Matthew E. Rubel,YES,Green,@mr2matt,2/28/2009,2/28/2009,New,1,486,302
6462,"Mayo A. Shattuck, III",,Red,@MayoShattuck,4/10/2013,,No tweeted ,1,21,6
1944,Mel Karmazin,YES,Green,@MelKarmazin,4/23/2009,4/23/2009,,1,228,0
13341,Menderes Akdag,,Red,@menderes_akdag,12/12/2012,2/4/2013,fake account,1,28,76
