Controlling Corporation ,Reporter ABN,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Begin year,Begin Month,End year,End Month
FPW HOLDINGS AUSTRALIA PTY LTD ,55600457430,24111,50668,661754,2014,8,2015,7
FQM AUSTRALIA HOLDINGS PTY LTD ,77136613075,116654,27,2421838,2014,8,2015,7
FREIGHTLINER AUSTRALIA PTY LTD ,51122522123,51682,0,739383,2014,8,2015,7
FREQUENCY INFRASTRUCTURE AUSTRALIA HOLDINGS PTY LTD ,27136262952,1313,109337,536416,2014,8,2015,7
FRITO-LAY AUSTRALIA HOLDINGS PTY LIMITED ,36099027746,30571,30702,712613,2014,8,2015,7
FUJITSU AUSTRALIA LIMITED ,19001011427,1011,139217,576505,2014,8,2015,7
FULTON HOGAN AUSTRALIA PTY LTD ,42135849115,74098,18504,1292015,2014,8,2015,7
GENERAL MOTORS AUSTRALIA LTD ,85103162956,25819,80017,886235,2014,8,2015,7
GLADSTONE PORTS CORPORATION LIMITED ,96263788242,41842,69753,1044010,2014,8,2015,7
GLENCORE HOLDINGS PTY LIMITED ,41104160689,9017938,2097349,45279338,2014,8,2015,7
GLOBAL SWITCH AUSTRALIA PTY LIMITED ,65094338333,168,146439,613000,2014,8,2015,7
GOLD FIELDS AUSTRALIA PTY LTD ,91098385285,228289,140330,4240676,2014,8,2015,7
GOLDFIELDS POWER PTY LTD ,81062186243,134782,0,1820183,2014,8,2015,7
GPT MANAGEMENT HOLDINGS LIMITED ,67113510188,10784,132049,681483,2014,8,2015,7
GRAINCORP LIMITED ,60057186035,107651,170025,2431588,2014,8,2015,7
GRANGE RESOURCES LIMITED ,80009132405,202473,49990,4274178,2014,8,2015,7
GRIFFITH UNIVERSITY ,78106094461,1285,56011,269689,2014,8,2015,7
GWI HOLDINGS NO.2 PTY LTD ,53132989998,82767,2542,1209112,2014,8,2015,7
HAMSDALE AUSTRALIA PTY LIMITED ,37097393112,22028,30784,448512,2014,8,2015,7
HANCOCK PROSPECTING PTY LIMITED ,69008676417,445333,1919,3589779,2014,8,2015,7
HANSON AUSTRALIA (HOLDINGS) PROPRIETARY LIMITED ,48090994657,250210,61637,2950427,2014,8,2015,7
HARVEY NORMAN HOLDINGS LIMITED ,54003237545,6478,133619,649783,2014,8,2015,7
HEALTHSCOPE LIMITED ,65144840639,14394,94821,676661,2014,8,2015,7
HEWLETT-PACKARD SOUTH PACIFIC PTY LTD ,94121554489,636,104278,413188,2014,8,2015,7
HILLGROVE RESOURCES LIMITED ,73004297116,36504,27833,827994,2014,8,2015,7
HOLCIM PARTICIPATIONS (AUSTRALIA) PTY LTD ,46122401405,166644,64033,2693852,2014,8,2015,7
HOLIDAY INNS HOLDINGS (AUSTRALIA) PTY. LIMITED ,95003621216,9997,52319,413934,2014,8,2015,7
HRL LIMITED ,89061930756,100878,20335,1990469,2014,8,2015,7
HUNTER WATER CORPORATION ,46228513446,11923,41929,244961,2014,8,2015,7
HUNTSMAN CORPORATION AUSTRALIA PTY LIMITED ,67083984187,18422,72826,2167442,2014,8,2015,7
HYNE & SON PTY. LIMITED ,67009660995,5375,46288,2398002,2014,8,2015,7
IBM A/NZ HOLDINGS PTY LIMITED ,12105319248,597,75202,297633,2014,8,2015,7
ICON WATER LTD ,86069381960,65440,143990,852539,2014,8,2015,7
IDEMITSU AUSTRALIA RESOURCES PTY LTD ,45010236272,65890,75656,3246111,2014,8,2015,7
ILUKA RESOURCES LIMITED ,34008675018,161457,93549,2680733,2014,8,2015,7
INCITEC PIVOT LIMITED ,42004080264,1438290,180953,30740146,2014,8,2015,7
INDEPENDENCE GROUP NL ,46092786304,37180,18245,760260,2014,8,2015,7
INGHAMS ENTERPRISES PTY. LIMITED ,20008447345,60082,194298,1785187,2014,8,2015,7
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LTD ,70105041209,15779891,200948,133504198,2014,8,2015,7
INVESTA OFFICE MANAGEMENT HOLDINGS PTY LIMITED ,62126219903,4037,91039,436707,2014,8,2015,7
IPMG PTY LIMITED ,84123230259,11359,66209,475392,2014,8,2015,7
ISAAC PLAINS COAL MANAGEMENT PTY LTD ,76114277315,55560,13196,463796,2014,8,2015,7
ISPT PTY LTD ,28064041283,3589,53913,279479,2014,8,2015,7
IXOM HOLDCO PTY LTD ,36602722547,3017,58284,333665,2014,8,2015,7
J.J. RICHARDS & SONS PTY LTD ,40000805425,72328,5283,1067315,2014,8,2015,7
JBS HOLDCO AUSTRALIA PTY LTD ,89126211023,208196,206999,3173892,2014,8,2015,7
JBS SMALLGOODS HOLDCO PTY LTD ,32604293503,17896,82686,705768,2014,8,2015,7
JELLINBAH GROUP PTY LTD ,54010754793,199332,7790,1657328,2014,8,2015,7
JET SYSTEMS PTY. LIMITED ,34003469574,160805,1696,2319125,2014,8,2015,7
JKC AUSTRALIA LNG PTY LTD ,14154383409,49792,13662,808110,2014,8,2015,7
JOHN SWIRE & SONS PTY LTD ,88000106141,14323,62793,467688,2014,8,2015,7
KALARI PROPRIETARY LIMITED ,14004595395,53104,1229,767128,2014,8,2015,7
KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD ,97009377619,201303,243574,4503534,2014,8,2015,7
KARARA MINING LIMITED ,68070871831,81467,380029,2993176,2014,8,2015,7
KEOLIS AUSTRALIA PTY LTD ,68132482850,2549,110214,361548,2014,8,2015,7
KILCOY INDUSTRIES AUSTRALIA PTY LTD ,16125927308,31995,18763,253070,2014,8,2015,7
KIMBERLY-CLARK PACIFIC HOLDINGS PTY LIMITED ,59095905294,111251,59801,2464410,2014,8,2015,7
KNAUF AUSTRALIA PTY LTD3 ,86003621181,-,-,-,2014,8,2015,7
LA TROBE UNIVERSITY4 ,64804735113,22916,34153,488988,2014,8,2015,7
LDO COAL ,60140669932,468148,19843,104365,2014,8,2015,7
LEND LEASE CORPORATION LTD ,32000226228,74842,112181,1561725,2014,8,2015,7
LINDSAY AUSTRALIA LIMITED ,81061642733,104604,0,1540892,2014,8,2015,7
LINFOX PROPRIETARY LIMITED ,59004667298,214291,43449,3282858,2014,8,2015,7
LION PTY LTD ,50128004268,74362,192012,2187357,2014,8,2015,7
LOY YANG HOLDINGS PTY LTD ,60057361805,10218712,2028,81967841,2014,8,2015,7
LYONDELLBASELL AUSTRALIA (HOLDINGS) PTY LTD ,74066270237,3,90547,226795,2014,8,2015,7
MACKAY SUGAR LIMITED ,12057463671,118706,9456,19401733,2014,8,2015,7
MACQUARIE GENERATION1  ,18402904344,3712311,12792,25703783,2014,8,2015,7
MANILDRA MILLING PTY LTD ,73002724021,286321,265145,6389426,2014,8,2015,7
MARS AUSTRALIA PTY LTD ,48008454313,33636,89086,948357,2014,8,2015,7
MATER MISERICORDIAE HEALTH SERVICES BRISBANE LIMITED ,83096708922,10842,40060,317667,2014,8,2015,7
MCALEESE LIMITED ,86156354068,231548,5167,3836490,2014,8,2015,7
MCCAIN FOODS (AUST) PTY LTD ,96000629587,30971,81133,1069183,2014,8,2015,7
MCDONALD'S AUSTRALIA LTD ,43008496928,1013,94831,402495,2014,8,2015,7
MELBOURNE WATER CORPORATION ,81945386953,253963,223916,1497639,2014,8,2015,7
METALS X LIMITED ,25110150055,50679,19958,837086,2014,8,2015,7
METCASH LIMITED ,32112073480,8530,85527,451305,2014,8,2015,7
METRO TRAINS MELBOURNE PTY LTD ,43136429948,6032,526595,1698792,2014,8,2015,7
METROPOLITAN HEALTH SERVICE ,13993250709,30429,144859,1284979,2014,8,2015,7
MINERAL RESOURCES LIMITED ,33118549910,84743,2391,1241382,2014,8,2015,7
MIRVAC LIMITED ,92003280699,9853,67507,435178,2014,8,2015,7
MMG MANAGEMENT PTY LTD ,33115312680,131341,337766,4245608,2014,8,2015,7
MONASH HEALTH ,82142080338,11432,67558,430086,2014,8,2015,7
MONASH UNIVERSITY ,12377614012,18542,112805,700567,2014,8,2015,7
MONDELEZ AUSTRALIA HOLDINGS PTY LTD ,86004880817,27503,62357,814565,2014,8,2015,7
MOUNT GIBSON IRON LIMITED ,87008670817,76334,1800,1121469,2014,8,2015,7
MULTINET GROUP HOLDINGS PTY LTD ,83104036937,273964,1356,872844,2014,8,2015,7
MURRAY GOULBURN CO-OPERATIVE CO. LIMITED ,23004277089,237834,300878,5261234,2014,8,2015,7
MYER HOLDINGS LIMITED ,14119085602,1874,166935,707151,2014,8,2015,7
NATIONAL AUSTRALIA BANK LIMITED ,12004044937,11309,130096,652454,2014,8,2015,7
NCIG HOLDINGS PTY LTD ,98124700483,2156,63697,298320,2014,8,2015,7
NESTLE AUSTRALIA LTD ,77000011316,35497,121912,1509495,2014,8,2015,7
NEW ZEALAND MILK (AUSTRALASIA) PTY LTD ,23003502654,120434,138584,2763781,2014,8,2015,7
NEWCREST MINING LIMITED ,20005683625,528282,842728,13143292,2014,8,2015,7
NEWGEN KWINANA HOLDINGS PTY LTD ,68116576955,851682,3081,9177368,2014,8,2015,7
NEWMARKET GOLD VICTORIAN HOLDINGS PTY LTD ,21128442375,26144,152017,873144,2014,8,2015,7
NEWMONT AUSTRALIA HOLDINGS PTY LTD ,95099040507,366985,761127,8908040,2014,8,2015,7
NEWS AUSTRALIA HOLDINGS PTY LIMITED ,32105197028,4911,90372,452344,2014,8,2015,7
NEXTDC LIMITED ,35143582521,145,53567,198015,2014,8,2015,7
NH FOODS AUSTRALIA PTY LTD ,87001548401,73392,53221,913698,2014,8,2015,7
NORSKE SKOG INDUSTRIES AUSTRALIA LIMITED ,50003902985,235570,136482,8289238,2014,8,2015,7
NORTHERN STAR RESOURCES LIMITED ,43092832892,185683,82931,3637909,2014,8,2015,7
NORTON GOLD FIELDS LIMITED ,23112287797,68413,77661,1324987,2014,8,2015,7
