Controlling Corporation,Total scope 1 greenhouse gas emissions (t CO2-e),Total scope 2 greenhouse gas emissions (t CO2-e),Total energy consumption (GJ),Begin year,Begin Month,End year,End Month
Interfrank Group Holdings Pty Ltd,7478,66661,268211,2010,8,2011,7
International Energy Services Pty Ltd,168335,1745,2417933,2010,8,2011,7
International Power (Australia) Holdings Pty Ltd,16764353,231061,193265202,2010,8,2011,7
Investa Property Group Holdings Pty Limited,2867,72789,325866,2010,8,2011,7
IPMG Pty Limited (Formally IPMG (Holdings) Pty Limited),16419,84253,629425,2010,8,2011,7
Isaac Plains Coal Management Pty Ltd,95921,10526,945975,2010,8,2011,7
ISPT Pty Ltd,4068,89354,400441,2010,8,2011,7
J.J. Richards & Sons Pty Ltd,58688,4005,859176,2010,8,2011,7
James Hardie Austgroup Pty Ltd,27932,63581,683927,2010,8,2011,7
JBS Holdco Australia Pty Ltd,232776,178634,2589990,2010,8,2011,7
Jellinbah Group Pty Ltd,187590,9423,1695768,2010,8,2011,7
Jet Systems Pty Ltd,139145,1939,2008156,2010,8,2011,7
John Swire & Sons Pty Ltd,16069,75821,516908,2010,8,2011,7
Kagara Ltd,44969,45556,966478,2010,8,2011,7
Kalari Proprietary Limited,88365,1721,1273822,2010,8,2011,7
Kalgoorlie Consolidated Gold Mines Pty Ltd,244133,307319,4839889,2010,8,2011,7
Kellogg Australia Holdings Pty Ltd,17382,39155,487461,2010,8,2011,7
Keolis Australia Pty Ltd,2585,107367,340665,2010,8,2011,7
Kimberly Clark Pacific Holdings Pty Ltd,113066,230058,5210054,2010,8,2011,7
Kimbriki Environmental Enterprises Pty Ltd,51231,235,2111,2010,8,2011,7
Koppers Australia Pty Ltd,159113,36143,12066981,2010,8,2011,7
Kraft Australia Holdings Pty Ltd,37453,79599,991018,2010,8,2011,7
La Trobe University,29081,28969,708157,2010,8,2011,7
Lafarge Australia Pty Ltd,,,,2010,8,2011,7
Laing O'Rourke Australia Pty Ltd (LORA),49584,5823,778861,2010,8,2011,7
Lanco Resources Australia Pty Ltd,134804,11074,1132586,2010,8,2011,7
LDO Coal,200422,9421,57038,2010,8,2011,7
Leighton Holdings Limited,775441,187887,8435737,2010,8,2011,7
Lend Lease Corporation Limited,106020,202668,2380842,2010,8,2011,7
Lindsay Australia Limited,89726,4370,1301405,2010,8,2011,7
Linfox Pty Ltd,224015,49867,3408726,2010,8,2011,7
Lion Nathan National Foods Pty Ltd,92055,240203,2728545,2010,8,2011,7
Loy Yang Holdings Pty Ltd,10165819,2703,115793518,2010,8,2011,7
LyondellBasell Australia (Holdings) Pty Ltd,7155,146050,18733679,2010,8,2011,7
M J Luff Pty Ltd,54215,4082,841330,2010,8,2011,7
Macarthur Coal Limited,279284,52885,2679535,2010,8,2011,7
Mackay Sugar Limited,120105,8897,16223130,2010,8,2011,7
Macquarie Generation,20447334,193404,235103927,2010,8,2011,7
Macquarie Group Limited,5572,44590,269317,2010,8,2011,7
Maersk Drilling Australia Pty Ltd,59615,135,1715768,2010,8,2011,7
Mars Australia Pty Ltd,38246,92277,1035054,2010,8,2011,7
Mater Misericordiae Health Services Brisbane Limited,8990,43149,279228,2010,8,2011,7
McCain Foods (Aust) Pty Ltd,29358,58033,1044438,2010,8,2011,7
McDonald's Australia Ltd,2324,130815,527926,2010,8,2011,7
Melbourne Water Corporation,209567,232729,1770360,2010,8,2011,7
Metcash Limited,12396,90242,518354,2010,8,2011,7
Metro Trains Melbourne Pty Ltd,6225,511238,1587410,2010,8,2011,7
Metropolitan Health Service,23292,130532,995821,2010,8,2011,7
Millennium Inorganic Chemicals Limited,148792,44102,2770875,2010,8,2011,7
Minara Resources Limited,560804,244,9751699,2010,8,2011,7
Mirvac Limited,13635,175893,891473,2010,8,2011,7
MMG Management Pty Ltd,143740,328981,4127206,2010,8,2011,7
MML Holdings Pty Ltd,21735,92736,755856,2010,8,2011,7
Monash University,17605,122447,696230,2010,8,2011,7
Mount Gibson Iron Limited,107947,12381,1612316,2010,8,2011,7
Multinet Group Holdings Pty Limited,302080,2743,26725,2010,8,2011,7
Murray Goulburn Co-operative Co. Limited,151033,479479,5098080,2010,8,2011,7
Myer Holdings Limited,2381,215615,858756,2010,8,2011,7
National Australia Bank Limited,12509,135408,728424,2010,8,2011,7
Navigator Resources Limited,57401,63,987380,2010,8,2011,7
Nestle Australia Ltd,38381,170254,1790677,2010,8,2011,7
New Zealand Milk (Australasia) Pty Ltd,188768,193742,3663610,2010,8,2011,7
Newcrest Mining Limited,674566,759746,17413569,2010,8,2011,7
Newmont Australia Holdings Pty Ltd,390275,680326,9810408,2010,8,2011,7
News Australia Holdings Pty Limited,6418,120478,571866,2010,8,2011,7
Nippon Meat Packers Australia Pty Ltd,61216,63341,831983,2010,8,2011,7
Norske Skog Industries Australia Limited,276559,864317,8794042,2010,8,2011,7
Northgate Australian Ventures Corporation Pty Ltd,32181,195238,1098545,2010,8,2011,7
Norton Gold Fields Limited,37604,76325,899972,2010,8,2011,7
NRG Victoria 1 Pty Ltd,6409672,49873,71624302,2010,8,2011,7
Nufarm Ltd,12717,57489,395761,2010,8,2011,7
Nyrstar Australia Pty Ltd,381129,550001,9293033,2010,8,2011,7
Olex Australia Pty Limited,10865,44936,348276,2010,8,2011,7
OneSteel Limited,2495091,1330570,67004154,2010,8,2011,7
Orica Limited,1709524,417850,17932854,2010,8,2011,7
Origin Energy Limited,2718342,58295,210068991,2010,8,2011,7
Owens-Illinois (Australia) Pty Ltd,544168,320202,8468309,2010,8,2011,7
OZ Minerals Limited,131172,184505,2825809,2010,8,2011,7
OzGen Holdings Australia Pty Ltd,9743319,35635,110217363,2010,8,2011,7
Panoramic Resources Limited,42931,9990,826634,2010,8,2011,7
Paper Australia Pty Ltd,412980,279472,16119708,2010,8,2011,7
Parmalat Australia Ltd,26514,85213,771305,2010,8,2011,7
Patience Bulk Haulage Pty Ltd,50747,0,725989,2010,8,2011,7
Peabody Energy Australia Pty Ltd,2897925,164176,4611223,2010,8,2011,7
Peak Gold Asia Pacific Pty Ltd,8121,62008,363294,2010,8,2011,7
Pechiney Consolidated Australia Pty Limited,1014063,7057752,37791262,2010,8,2011,7
Penrice Soda Holdings Limited,130988,202186,3960848,2010,8,2011,7
Perilya Limited,9141,118648,606722,2010,8,2011,7
PFD Food Services Pty Ltd,23876,38754,484450,2010,8,2011,7
PMP Limited,21492,94970,726294,2010,8,2011,7
