Controlling Corporation,ABN,Total Scope 1 Emission (t CO2-e),Total Scope 2 Emission (t CO2-e),Total Net Energy consumed  (GJ),Begin year,Begin Month,End year,End Month
MIRVAC LIMITED ,92003280699,11432,69200,456563,2013,8,2014,7
MMG MANAGEMENT PTY LTD ,33115312680,170459,343621,4726962,2013,8,2014,7
MONASH HEALTH ,82142080338,10834,62091,403726,2013,8,2014,7
MONASH UNIVERSITY ,12377614012,18024,116247,701842,2013,8,2014,7
MONDELEZ AUSTRALIA HOLDINGS PTY LTD ,86004880817,30643,67899,901901,2013,8,2014,7
MOUNT GIBSON IRON LIMITED ,87008670817,124296,2362,1867201,2013,8,2014,7
MULTINET GROUP HOLDINGS PTY LTD ,83104036937,259427,1426,42685,2013,8,2014,7
MURRAY GOULBURN CO-OPERATIVE CO. LIMITED ,23004277089,141982,426815,4728939,2013,8,2014,7
MYER HOLDINGS LIMITED ,14119085602,1691,171843,720528,2013,8,2014,7
NATIONAL AUSTRALIA BANK LIMITED ,12004044937,11433,133589,668816,2013,8,2014,7
NCIG HOLDINGS PTY LTD ,98124700483,2274,64862,300947,2013,8,2014,7
NESTLE AUSTRALIA LTD ,77000011316,35018,127336,1552755,2013,8,2014,7
NEW ZEALAND MILK (AUSTRALASIA) PTY LTD ,23003502654,129081,146805,2896619,2013,8,2014,7
NEWCREST MINING LIMITED ,20005683625,518420,770100,12589142,2013,8,2014,7
NEWGEN KWINANA HOLDINGS PTY LTD ,68116576955,807896,1260,8701489,2013,8,2014,7
NEWMONT AUSTRALIA HOLDINGS PTY LTD ,95099040507,444212,756182,10251179,2013,8,2014,7
NEWS AUSTRALIA HOLDINGS PTY LIMITED ,32105197028,4178,97044,468329,2013,8,2014,7
NH FOODS AUSTRALIA PTY LTD ,87001548401,67693,50059,836473,2013,8,2014,7
NORSKE SKOG INDUSTRIES AUSTRALIA LIMITED ,50003902985,215203,131171,7890063,2013,8,2014,7
NORTHERN STAR RESOURCES LIMITED ,43092832892,54914,28763,1026881,2013,8,2014,7
NORTHGATE AUSTRALIAN VENTURES CORPORATION PTY LTD ,21128442375,23561,154908,857318,2013,8,2014,7
NORTON GOLD FIELDS LIMITED ,23112287797,58706,75709,1214194,2013,8,2014,7
NOVION LIMITED ,79167087363,5472,138939,584571,2013,8,2014,7
NRG VICTORIA I PTY LTD ,26076286578,6586877,46815,50141221,2013,8,2014,7
NSW TRAINS ,50325560455,65121,149589,1550711,2013,8,2014,7
NUFARM LIMITED ,37091323312,12081,47812,366830,2013,8,2014,7
NYRSTAR AUSTRALIA PTY LTD ,46124535468,364810,371780,9993758,2013,8,2014,7
OLAM ORCHARDS AUSTRALIA PTY LTD ,15139442532,7614,81155,364288,2013,8,2014,7
ORICA LIMITED ,24004145868,1443738,353642,19787272,2013,8,2014,7
ORIGIN ENERGY LIMITED ,30000051696,12287156,119428,170609784,2013,8,2014,7
ORORA LIMITED ,55004275165,337067,341887,6864214,2013,8,2014,7
OWENS-ILLINOIS (AUSTRALIA) PTY LTD ,30002060059,365600,247899,6370810,2013,8,2014,7
OZ MINERALS LIMITED ,40005482824,231389,195896,4509933,2013,8,2014,7
OZGEN HOLDINGS AUSTRALIA PTY LTD 1,34128655096,8569484,25143,63522407,2013,8,2014,7
PACT GROUP HOLDINGS LTD ,55145989644,12785,233651,1075217,2013,8,2014,7
PANORAMIC RESOURCES LIMITED ,47095792288,50993,15161,823343,2013,8,2014,7
PAPER AUSTRALIA PTY LTD ,63061583533,384030,257169,16387216,2013,8,2014,7
PARMALAT AUSTRALIA PTY LTD ,56072928879,39345,101315,1090175,2013,8,2014,7
PEABODY AUSTRALIA HOLDCO PTY LTD ,61154820130,2881779,272913,11135179,2013,8,2014,7
PEAK GOLD ASIA PACIFIC PTY LTD ,93103879054,9890,71927,446644,2013,8,2014,7
PECHINEY CONSOLIDATED AUSTRALIA PTY LTD ,39076569769,1100805,6991641,38989620,2013,8,2014,7
PENRICE SODA HOLDINGS LIMITED ,83109193419,96667,11880,715323,2013,8,2014,7
PENTAIR FLOW CONTROL INTERNATIONAL PTY LIMITED ,70129692495,52014,43972,947424,2013,8,2014,7
PERILYA LIMITED ,85009193695,10714,122012,659800,2013,8,2014,7
PFD FOOD SERVICES PTY LTD ,29006972381,25941,37685,541251,2013,8,2014,7
PMP LIMITED ,39050148644,10120,70388,460827,2013,8,2014,7
PORT WARATAH COAL SERVICES LTD ,99001363828,724,131748,555042,2013,8,2014,7
POWER AND WATER CORPORATION ,15947352360,1022675,1762,13021428,2013,8,2014,7
PRATT CONSOLIDATED HOLDINGS PTY. LTD. ,43104958581,343202,1033477,21142559,2013,8,2014,7
PTTEP AUSTRALIA PERTH PTY LTD ,74134686525,289787,707,3551684,2013,8,2014,7
PUBLIC TRANSPORT AUTHORITY OF WESTERN AUSTRALIA ,61850109576,8415,106061,610632,2013,8,2014,7
QANTAS AIRWAYS LIMITED ,16009661901,4611620,183826,68446859,2013,8,2014,7
QCOAL PTY LTD ,99010911234,201885,31192,1518990,2013,8,2014,7
QENOS HOLDINGS PTY LTD ,62086026968,823177,189077,32552128,2013,8,2014,7
QIC LIMITED ,95942373762,4791,105067,477589,2013,8,2014,7
